ID	Hexagon_index	Cluster_base
Pfdn2	486	7
1190002J23Rik	414	11
Pvrl4	414	11
Arhgap30	414	11
Usf1	415	11
F11r	348	10
Refbp2	9	12
Itlna	2	34
Cd244	381	31
Ly9	380	5
Slamf7	450	5
Cd48	450	5
Slamf1	611	31
Cd84	615	31
Slamf6	93	13
Nhlh1	646	9
Ncstn	647	9
Copa	647	9
Pex19	647	9
Wdr42a	647	9
Casq1	647	9
Atp1a2	288	10
Igsf8	288	10
Kcnj9	287	10
Kcnj10	647	9
Pigm	648	9
Slamf9	643	16
Igsf9	643	16
Tagln2	642	16
Slamf8	63	13
Dusp23	61	34
Crp	452	31
Apcs	691	4
Olfr16	690	4
Olfr1408	690	4
Olfr1406	690	4
Olfr218	690	4
Olfr1404	690	4
Fcer1a	690	4
Olfr1403	446	4
Darc	523	4
BC094916	520	4
AI447904	689	4
Ifi204	688	4
Mnda	689	4
Ifi203	689	4
Ifi202b	689	4
Ifi205	689	4
Olfr433	520	4
Olfr432	520	4
Olfr430	445	4
Olfr429	444	4
Olfr427	444	4
Olfr244	444	4
Olfr424	444	4
Olfr421	444	4
Olfr420	444	4
Spna1	375	6
Olfr419	375	6
1810030J14Rik	310	2
Olfr417	310	2
Olfr415	310	2
Olfr414	310	2
Fmn2	310	2
Grem2	600	3
Rgs7	519	4
Fh1	523	4
Kmo	523	4
Opn3	446	4
Chml	446	4
Exo1	608	6
Pld5	696	6
B020018G12Rik	696	6
Sdccag8	699	31
Akt3	698	6
Zfp238	682	1
1700016C15Rik	109	38
Adss	77	38
5830417C01Rik	711	24
2310005N03Rik	340	14
Hnrpu	340	14
Efcab2	342	8
D230039L06Rik	144	12
Smyd3	367	36
Tfb2m	98	8
9630058J23Rik	136	8
Sccpdh	345	8
Ahctf1	346	8
Cabc1	422	10
Psen2	659	11
Itpkb	659	11
6330403A02Rik	413	7
Parp1	651	7
Lin9	651	7
Mixl1	651	7
Acbd3	347	11
H3f3a	418	11
BC031781	653	7
Lefty2	567	7
Pycr2	653	7
Lefty1	567	7
Tmem63a	567	7
Ephx1	653	7
9130409I23Rik	412	9
Nvl	412	9
Cnih4	343	8
Wdr26	342	8
Cnih3	26	12
A230079K17Rik	405	14
Lbr	42	12
Enah	410	9
Srp9	657	11
Degs1	485	7
Fbxo28	651	7
Trp53bp2	344	8
Capn2	181	10
Capn8	660	10
4922505E12Rik	299	29
Susd4	299	29
Dusp10	686	3
Hlx1	581	30
Mosc1	429	28
Mosc2	501	28
C130074G19Rik	500	28
Mark1	500	28
Iars2	14	34
Bpnt1	1	34
Eprs	2	34
9630028B13Rik	329	19
Slc30a10	329	19
Lyplal1	442	3
Tgfb2	437	36
D1Pas1	608	6
Spata17	374	6
Esrrg	444	4
Ush2a	690	4
Kctd3	699	31
Kcnk2	608	6
Cenpf	421	10
Ptpn14	291	10
Smyd2	675	27
Prox1	700	31
Rps6kc1	394	19
Angel2	413	7
9630055N22Rik	487	7
9130211I03Rik	229	8
Atf3	659	11
Nenf	659	11
2310028N02Rik	659	11
Ppp2r5a	659	11
Dtl	659	11
Ints7	659	11
Lpgat1	661	26
Nek2	496	26
Slc30a1	575	10
3322402L07Rik	240	25
Traf5	240	25
Rcor3	662	26
Kcnh1	77	38
Hhat	439	1
Sertad4	676	27
Syt14	676	27
AA408296	590	37
Irf6	590	37
A130010J15Rik	590	37
Traf3ip3	590	37
Hsd11b1	591	37
G0s2	592	35
Lamb3	592	35
Camk1g	592	35
Plxna2	517	3
Cd34	517	3
Cd46	311	5
Crry	255	5
Cr2	203	5
Cnksr3	699	31
A130090K04Rik	443	3
Oprm1	443	3
Rgs17	526	6
Mtrf1l	527	5
Fbxo5	527	5
Vip	610	5
Myct1	527	5
Syne1	518	3
Esr1	687	3
1700052N19Rik	279	14
Akap12	411	9
Mthfd1l	186	10
Plekhg1	333	13
Ppp1r14c	373	2
Lrp11	456	20
Pcmt1	635	15
Nup43	64	12
Katna1	64	12
BC013529	96	14
Ppil4	96	14
Zc3h12d	134	8
Map3k7ip2	65	12
Ust	682	1
Sash1	368	36
E130306M17Rik	686	3
Stxbp5	687	3
9130014G24Rik	519	4
Rab32	689	4
Grm1	690	4
Shprh	84	33
Fbxo30	18	34
Epm2a	35	33
Utrn	154	39
Sf3b5	104	12
Plagl1	191	25
Ltv1	193	38
Phactr2	194	38
Fuca2	438	1
Pex3	197	39
Deadc1	197	39
Aig1	684	1
Hivep2	513	1
Gpr126	598	3
Nmbr	518	3
Cited2	436	36
Txlnb	436	36
Heca	367	36
Reps1	17	34
Ccdc28a	392	19
Nhsl1	456	20
Hebp2	168	22
D10Bwg1379e	267	22
Perp	148	38
Tnfaip3	196	39
Olig3	196	39
Ifngr1	251	2
Il22ra2	251	2
Il20ra	154	39
Slc35d3	266	23
Pex7	266	23
Map3k5	266	23
Mtap7	267	22
Bclaf1	401	13
2610016C23Rik	334	13
Pde7b	326	22
Ahi1	167	22
Myb	274	13
Hbs1l	331	17
Aldh8a1	19	34
Sgk	632	17
Raet1a	120	33
Raet1d	120	33
Raet1e	120	33
Raet1b	120	33
Raet1c	120	33
Slc2a12	307	2
Tbpl1	307	2
Tcf21	372	2
Eya4	687	3
Rps12	50	38
Vnn3	79	32
Vnn1	79	32
Taar1	80	32
Taar2	80	32
Taar3	80	32
Taar4	80	32
Taar5	80	32
Taar6	80	32
Taar7a	113	39
Taar7b	113	39
Taar7d	153	39
Taar7e	153	39
Taar7f	198	39
