ID	Hexagon_index	Cluster_base
202278_s_at	152	11
202283_at	276	8
202286_s_at	360	10
202294_at	127	3
202295_s_at	48	1
202296_s_at	73	4
202297_s_at	183	4
202309_at	113	1
202310_s_at	201	11
202315_s_at	185	4
202328_s_at	88	6
202330_s_at	245	10
202332_at	37	3
202336_s_at	210	7
202341_s_at	277	8
202342_s_at	276	8
202344_at	161	5
202345_s_at	303	10
202346_at	239	10
202347_s_at	297	10
202350_s_at	238	10
202352_s_at	150	11
202357_s_at	98	2
202359_s_at	42	2
202362_at	188	4
202363_at	337	8
202364_at	370	11
202369_s_at	296	10
202370_s_at	61	3
202371_at	107	4
202375_at	236	10
202377_at	141	4
202378_s_at	69	2
202379_s_at	395	12
202380_s_at	388	7
202384_s_at	113	1
202386_s_at	131	3
202388_at	191	4
202391_at	179	2
202393_s_at	111	1
202395_at	73	4
202409_at	43	2
202410_x_at	332	8
202421_at	183	4
202422_s_at	67	2
202423_at	271	3
202427_s_at	234	4
202429_s_at	191	4
202431_s_at	382	7
202435_s_at	331	3
202436_s_at	333	8
202437_s_at	332	8
202440_s_at	322	7
202444_s_at	78	1
202446_s_at	45	4
202447_at	278	8
202450_s_at	340	8
202457_s_at	191	4
202458_at	367	11
202464_s_at	367	11
202465_at	322	7
202472_at	372	11
202478_at	219	8
202479_s_at	171	8
202481_at	68	2
202484_s_at	335	8
202487_s_at	46	4
202493_x_at	357	10
202497_x_at	365	10
202498_s_at	365	10
202499_s_at	365	10
202501_at	64	2
202503_s_at	27	1
202504_at	390	12
202506_at	388	7
202507_s_at	395	12
202508_s_at	275	8
202511_s_at	192	10
202517_at	225	8
202522_at	17	1
202525_at	366	10
202529_at	131	3
202533_s_at	110	10
202536_at	242	10
202537_s_at	147	4
202542_s_at	80	1
202543_s_at	362	10
202545_at	74	4
202546_at	363	10
202548_s_at	217	3
202554_s_at	334	8
202562_s_at	112	1
202564_x_at	110	10
202565_s_at	210	7
202566_s_at	323	7
202567_at	74	4
202572_s_at	169	3
202575_at	375	11
202582_s_at	188	4
202584_at	329	12
202587_s_at	171	8
